tarih,fonKodu,fonUnvan,fiyat,kisiSayisi,portfoyBuyukluk,tedPaySayisi
2026-09-15,AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,9.532276,2465,102955964.68,10800775
2026-09-15,AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,11.180238,15,238928512.99,21370610
2026-09-15,AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),36.292444,2589,112630189.38,3103406
2026-09-15,AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,0,101,0,0
2026-09-15,AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,11.638784,586,99057407.17,8510976
2026-09-15,AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,22.19228,209,138105888.81,6223150
2026-09-15,AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,32.18445,13,101793622.58,3162820
2026-09-15,AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,0,17,0,0
2026-09-15,AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),16.865291,4,160400120.33,9510664
2026-09-15,AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,97.709487,3,385170796.51,3942000
2026-09-15,AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),27.075618,1,58545255.82,2162287
2026-09-15,AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,167.386298,4,1493824954.83,8924416
2026-09-15,AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,0.110243,23460,11694875709.51,106083100519
2026-09-15,AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),1.354607,82,10240079.31,7559447
2026-09-15,AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,64.374458,933,2839378375.15,44107220
2026-09-15,AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,65.544669,133,127141975.84,1939776
