tarih,fonKodu,fiyat,kisiSayisi,portfoyBuyukluk,tedPaySayisi
2026-09-04,DK1,1.498751,68,3209929902.39,2141736045
2026-09-04,DK8,48.320405,200,3007120698.8,62232936
2026-09-04,DKA,48.298456,239,2462198808.45,50978831.001
2026-09-04,DKC,0.605874,27,10712210.89,17680598
2026-09-04,DKH,3.724638,1401,208537405.46,55988632
2026-09-04,DKL,51.114257,99,398066588.67,7787780
2026-09-04,DKP,48.447019,628,4177586489.36,86230000
2026-09-04,DKR,0.922274,1448,172423667.67,186954890
2026-09-04,DKS,73.4095,2,235492538.66,3207930
2026-09-04,DL2,2.514836,659,10095501260.24,4014376837
2026-09-04,DLD,7.539722,582,63994003.2,8487581
2026-09-04,DLG,1.272958,37,4628948.09,3636370
2026-09-04,DLN,2.565504,44,5508340579.46,2147078914
2026-09-04,DLY,6.162664,311690,81851225792.35,13281791709
2026-09-04,DLZ,0.507705,44,11002141.83,21670364
2026-09-04,DMG,7.010582,15306,3095984074.17,441615867
2026-09-04,DMI,0.981311,1,1070355955.68,1090741166
2026-09-04,DMR,59.476692,1,17633003429.18,296469134
2026-09-04,DMV,71.295277,2,342671193.39,4806366
2026-09-04,DMZ,65.311843,5,653118427.91,10000000
2026-09-04,DNA,8.533704,5,1698407254.02,199023445
2026-09-04,DNF,1.375277,173,273578997.41,198926515
2026-09-04,DNH,1.129172,61,16725657.52,14812326
2026-09-04,DNK,1.659899,127,628446284.1,378605040
2026-09-04,DNL,56.102338,1,223551322.97,3984706
2026-09-04,DNM,53.258688,1066,1423895572.45,26735461
2026-09-04,DNP,1.456703,328,2039751427.74,1400251935
2026-09-04,DNU,47.81131,15,39305916.95,822105
2026-09-04,DOC,48.313101,174,4937757041.36,102203272
2026-09-04,DOD,70.568911,159,14731700061.06,208756232
2026-09-04,DOH,2.430261,20784,17337716705.59,7134095127
2026-09-04,DOL,53.245936,382,5855971015.82,109979681
2026-09-04,DOR,74.020911,1,533103192.6,7202062
2026-09-04,DOS,68.625197,3,2090471997.34,30462164
2026-09-04,DOV,61.187392,17165,74546081097.02,1218324212
2026-09-04,DP1,17.788983,7,5062332479.54,284576837
2026-09-04,DP2,66.97907,11,375403958.46,5604795
2026-09-04,DP3,71.288554,4,332914694.47,4669960
2026-09-04,DP4,75.143663,3,548116138.63,7294243
2026-09-04,DP5,83.749956,1,1813762255.26,21656874
2026-09-04,DP6,48.400362,212,1944609644.2,40177585
2026-09-04,DP7,61.764882,3,555994005.09,9001782
2026-09-04,DP8,48.420489,49,399782943.7,8256483
2026-09-04,DP9,48.30573,155,6105315100.39,126389046
2026-09-04,DPB,24.567231,3123,10378048562.1,422434603
2026-09-04,DPC,100.35339,1,335411435.84,3342303
2026-09-04,DPE,22.940214,1,1501590204.12,65456679
2026-09-04,DPG,102.235472,2,586237928.78,5734193
2026-09-04,DPI,8.973307,131,313017906,34883228
2026-09-04,DPK,8.749601,1369,895940567.81,102397874
2026-09-04,DPL,103.378584,1,2324993045.82,22490084
2026-09-04,DPN,58.481642,1,2294819.65,39240
2026-09-04,DPP,151.0833,2,54144326.7,358374
2026-09-04,DPT,17.971889,5006,287634452.53,16004687
2026-09-04,DPZ,83.76782,1,124084099.4,1481286
2026-09-04,DRA,1.232494,46,41996296.67,34074242
2026-09-04,DRD,56.15664,149,1735150227.32,30898398
2026-09-04,DRH,1.466162,71,526191576.84,358890494
2026-09-04,DRT,1.217278,523,28639372.06,23527384
2026-09-04,DSC,67.566521,1,1004045804.05,14860108
2026-09-04,DSD,72.690026,1420,3900840102.97,53664035
2026-09-04,DSH,2.264625,1564,5105038314.29,2254253707
2026-09-04,DSP,14.957819,1226,148160624.09,9905229
2026-09-04,DSV,49.398229,45,1163047359.07,23544313
2026-09-04,DTH,1.312689,225,227715134.58,173472227
2026-09-04,DTL,4.002611,3170,155879892.91,38944555
2026-09-04,DTM,1.464281,2743,59992541.1,40970644
2026-09-04,DTO,48.035757,131,119353965.44,2484690
2026-09-04,DTP,1.915178,4,1735093580.35,905970033
2026-09-04,DTV,70.271883,4,4242707322.78,60375603
2026-09-04,DTZ,5.366561,8525,504186300.96,93949614
2026-09-04,DUC,0.276655,12,95822.49,346361
2026-09-04,DUD,53.071642,278,366386078.06,6903613
2026-09-04,DUH,1.084017,445,128076298.54,118149667
2026-09-04,DUT,47.878714,242,884197469.23,18467444
2026-09-04,DUV,1.334909,213,64280471.65,48153434
2026-09-04,DVC,69.456468,1,57301586.38,825000
2026-09-04,DVI,78.337002,2,197636344.05,2522899
2026-09-04,DVN,65.436204,1,313409187.22,4789538
2026-09-04,DVO,5.402175,1,34614903.92,6407587
2026-09-04,DVS,1.59424,321,365402676.11,229201731
2026-09-04,DVT,9.811784,11081,889750099.19,90681783
2026-09-04,DVU,8.727731,5,1425339745.34,163311605
2026-09-04,DVZ,67.357131,1,1415278126.79,21011556
2026-09-04,DXP,1.848296,1037,45380547.49,24552642
2026-09-04,DYJ,48.683072,153,1143597335.28,23490657
2026-09-04,DYN,4.484404,1617,57787767.58,12886388
2026-09-04,DYS,1.682787,13,19538486.07,11610791
2026-09-04,DZ2,1.370715,2,12626608384.71,9211693295
2026-09-04,DZE,0.982162,2869,189305618.79,192743800
2026-09-04,DZM,87.441418,4108,11251377601.02,128673320
2026-09-04,DZP,61.465682,2,465934456.89,7580400
2026-09-04,DZS,1.596309,123,52312134.18,32770679
2026-09-04,EBD,0.26025,572,79158337.8,304162648
2026-09-04,EBI,57.365344,24,813342768.94,14178295
2026-09-04,EBS,49.599727,35,4642501351.83,93599333
2026-09-04,EC2,84.987452,1912,62976449.89,741008.8
2026-09-04,ECA,2.046637,844,346558145.61,169330541
2026-09-04,ECB,54.219385,3152,785881959.17,14494483
2026-09-04,ECV,0.496048,2407,85213293.41,171784512.183
2026-09-04,EDD,1.15222,922,29489758.41,25593867
2026-09-04,EDN,1.044306,38,280516891.84,268615515
2026-09-04,EDP,1.186947,56,77693718.24,65456787
2026-09-04,EDT,2.291323,616,961846261.53,419777686
2026-09-04,EDU,3.641733,691,368672546.35,101235458
2026-09-04,EES,50.816833,1,405748474.47,7984529
2026-09-04,EGP,58.06992,49,264993891.5,4563359
2026-09-04,EGR,1.030931,132,270656088.39,262535537
2026-09-04,EHS,2.470218,3,582820634.82,235938967
2026-09-04,EIB,0.688462,498,306667906.99,445438832
2026-09-04,EID,1.923643,1822,90483310.44,47037485
2026-09-04,EIL,5.35825,1438,1018684969.23,190115240
2026-09-04,EJG,9.474944,1,648268150.16,68419205
2026-09-04,EKF,0.138729,4891,1505895465,10854948281
2026-09-04,EKL,1.848345,1305,2323522136.62,1257082225
2026-09-04,ELZ,13.472538,702,306253964.43,22731721
2026-09-04,EME,1.093727,15,36517526.84,33388148
2026-09-04,EML,1.235977,987,42000497.99,33981617
2026-09-04,ENA,1.149452,1692,41311018.66,35939745
2026-09-04,ENJ,1.364608,679,54626271.19,40030733
2026-09-04,ENO,48.893423,116,70889742.41,1449883
2026-09-04,ENR,1.222222,13404,2324144595.23,1901573480
2026-09-04,ENS,1.201267,1822,43336198.2,36075411
2026-09-04,EP1,1.083437,2025,14552215565.06,13431533288
2026-09-04,EPA,1.396801,158,562871339.85,402971851
2026-09-04,EPI,1.097024,343,277020943.38,252520421
2026-09-04,EPK,1.390178,1518,239577754.92,172336024
2026-09-04,EPO,62.989727,1,465493769.13,7389995
2026-09-04,EPP,1.502684,52,1888749554.9,1256917079
2026-09-04,EPT,1.355189,69,1263107506.79,932052985
2026-09-04,ESG,4.111413,80,11081589.74,2695324
2026-09-04,ESN,1.754861,12,41259966.37,23511812
2026-09-04,ESP,0.307733,268,21532169.07,69970224
2026-09-04,ETN,1.015029,14,224367717.12,221045721
2026-09-04,EUN,64.38065,3536,6080980201.87,94453538
2026-09-04,EUZ,63.39413,38698,146949130995.5,2318024259
2026-09-04,EVM,1.166281,635,45789876.44,39261461
2026-09-04,EYT,3.047902,494,41932024.56,13757669
2026-09-04,EZM,44.840941,1,4484094.06,100000
2026-09-04,FAK,1.325611,356,20782121.06,15677391
2026-09-04,FAL,1.261208,624,333244607.55,264226627
